"","X","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1",1,"His..uncle, Mark, responded to reports that the FBI had received tips about Cruz that it failed to follow up on, ca… https://t.co/zwxhFyHgBm",FALSE,0,NA,"2018-03-02 08:35:45",TRUE,NA,969491437841731584,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","EttasPlace",0,FALSE,FALSE,NA,NA
"2",2,"Parents and students from the site of the nation's latest mass shooting met Wednesday with survivors of the 2016 Pu… https://t.co/VGaUfNmOtM",FALSE,0,NA,"2018-03-02 08:35:06",TRUE,NA,969491275346075648,NA,"<a href=""http://trueanthem.com/"" rel=""nofollow"">trueAnthem</a>","WNEP",0,FALSE,FALSE,NA,NA
"3",3,"Florida school shooting survivors father escaped the Las Vegas massacre: 'It's got to stop' https://t.co/sIhNQe5Y0c… https://t.co/hrWivPEoRO",FALSE,0,NA,"2018-03-02 08:34:18",TRUE,NA,969491073180622848,NA,"<a href=""http://theinformer.life"" rel=""nofollow"">The lnformer</a>","The_lnformer",0,FALSE,FALSE,NA,NA
"4",4,"Florida school shooting aftermath: US airline to lose tax break over NRA row  https://t.co/RXJNY6huAj",FALSE,0,NA,"2018-03-02 08:33:59",FALSE,NA,969490990502424576,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","fulelo",0,FALSE,FALSE,NA,NA
"5",5,"Florida school shooting: US airline to lose tax break over NRA row - BBC News https://t.co/rbC7DYQu5o",FALSE,0,NA,"2018-03-02 08:33:37",FALSE,NA,969490899700015104,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gersariel1",0,FALSE,FALSE,NA,NA
"6",6,"#REI says it will no longer order products from Vista Outdoor - which owns dozens of brands, including gunmaker Sav… https://t.co/cDeeWKVs5T",FALSE,1,NA,"2018-03-02 08:33:15",TRUE,NA,969490809400807424,NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","NewsAlertHQ",1,FALSE,FALSE,NA,NA
"7",7,"Florida shooting: Nikolas Cruz charged with murder https://t.co/dEkHS4vgNz",FALSE,0,NA,"2018-03-02 08:32:41",FALSE,NA,969490664147763200,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","US_currentevent",0,FALSE,FALSE,NA,NA
"8",8,"Facebook and Google Struggle to Squelch ‘Crisis Actor’ Posts https://t.co/SWBFG405ww",FALSE,0,NA,"2018-03-02 08:32:23",FALSE,NA,969490590038503424,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SouthwellLeigh",1,FALSE,FALSE,NA,NA
"9",9,"Florida school shooting: US airline to lose tax break over NRA row https://t.co/Z8jvuQIh2s https://t.co/rU2f13i0rd",FALSE,0,NA,"2018-03-02 08:30:48",FALSE,NA,969490190455771136,NA,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","breakingnewshe1",0,FALSE,FALSE,NA,NA
"10",10,"Florida school shooting: US airline to lose tax break over NRA row - Georgia lawmakers pass a bill stripped of an e… https://t.co/7WR1iL7kbk",FALSE,0,NA,"2018-03-02 08:30:42",TRUE,NA,969490164274823168,NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","Worldnews_Media",0,FALSE,FALSE,NA,NA
